3621 20998
3306 3304 0.0625
1027 416 0.0625
40 148 0.0625
612 130 0.1875
546 2946 0.0625
1460 1459 0.0625
2723 3483 0.0625
2341 409 0.0625
591 1341 0.0625
436 99 0.0625
1916 989 0.0625
202 632 0.0625
1071 81 0.0625
2865 2480 0.0625
228 1841 0.0625
436 93 0.125
1480 1482 0.0625
1480 1481 0.0625
307 129 0.0625
1401 1452 0.0625
217 1436 0.0625
973 3528 0.0625
12 346 0.0625
3318 60 0.0625
107 108 0.125
107 109 0.0625
74 655 0.0625
3305 3306 0.0625
1643 1642 0.0625
3618 3619 0.0625
1643 1641 0.0625
2394 909 0.0625
117 228 0.0625
1643 1645 0.0625
1257 140 0.125
169 148 0.0625
1794 790 0.25
937 3479 0.0625
743 312 0.125
268 51 0.0625
2723 2685 0.0625
2644 3501 0.0625
280 667 0.0625
516 1227 0.0625
3529 593 0.0625
288 161 0.3125
786 2621 0.0625
411 1963 0.0625
388 67 0.0625
1284 1286 0.0625
58 59 0.25
1284 1283 0.0625
75 76 0.0625
1239 166 0.0625
207 273 0.0625
207 272 0.0625
58 57 0.0625
305 2832 0.0625
1567 1566 0.0625
2915 828 0.0625
6 780 0.125
1640 115 0.0625
983 884 0.125
3511 3314 0.0625
549 1073 0.0625
626 2569 0.0625
2915 827 0.0625
360 1997 0.0625
1369 2663 0.0625
166 165 0.4375
938 3479 0.0625
2115 2116 0.0625
1662 99 0.0625
547 249 0.0625
1616 1618 0.0625
1616 1617 0.1875
1200 1202 0.0625
1200 1201 0.1875
1970 64 0.0625
643 356 0.375
1434 841 0.0625
336 335 0.125
336 334 0.3125
336 337 0.125
591 1755 0.0625
766 332 0.125
3034 157 0.0625
591 1758 0.125
356 626 0.0625
231 610 0.0625
567 152 0.0625
470 1938 0.0625
834 833 0.0625
1373 316 0.0625
538 198 0.125
679 133 0.125
2156 2158 0.0625
2156 2157 0.0625
914 916 0.0625
914 915 0.0625
1209 1210 0.0625
249 3523 0.0625
12 3483 0.0625
1786 1783 0.0625
818 2176 0.125
3340 2867 0.0625
3222 2923 0.125
2531 127 0.0625
37 628 0.125
680 1811 0.0625
540 3190 0.0625
303 513 0.0625
354 353 0.0625
1208 332 0.125
203 700 0.0625
187 459 0.0625
761 221 0.0625
2718 1661 0.0625
1999 822 0.0625
2366 2122 0.0625
1459 902 0.0625
2016 853 0.0625
1046 870 0.1875
2178 2177 0.0625
1092 1928 0.125
2708 1534 0.0625
2522 203 0.0625
1874 672 0.0625
425 37 0.125
2463 1212 0.0625
147 763 0.0625
587 1302 0.0625
952 352 0.0625
669 99 0.1875
454 130 0.1875
147 2671 0.0625
3269 3271 0.0625
38 130 0.25
2260 425 0.0625
1811 128 0.0625
175 1439 0.0625
179 502 0.0625
2402 1025 0.0625
37 620 0.0625
3605 1363 0.0625
2242 2241 0.0625
2242 2240 0.0625
508 443 0.125
716 541 0.1875
1850 67 0.125
239 38 0.125
1377 1376 0.1875
77 245 0.0625
811 198 0.0625
3157 1477 0.0625
37 624 0.0625
393 3177 0.0625
1146 1382 0.0625
1182 1659 0.0625
983 1100 0.0625
1099 545 0.0625
1726 640 0.0625
419 1545 0.1875
1163 902 0.125
1084 599 0.0625
1163 901 0.0625
989 481 0.0625
3095 3432 0.0625
200 428 0.0625
1343 257 0.0625
186 1854 0.0625
133 356 0.0625
719 325 0.125
435 130 0.0625
2979 1496 0.0625
1172 2884 0.1875
609 805 0.0625
